e,norm,nbkg,flat,fbkg,nder,nsec
7083.7221,0.98787829,0.9893833,0.99504214,0.99654708,-7.43E-05,1.21E-06
7088.5875,0.98731137,0.98970262,0.99431623,0.9967074,-8.39E-05,4.36E-06
7093.2708,0.98707722,0.99001389,0.99392516,0.99686175,-3.27E-05,1.68E-05
7098.182,0.98699796,0.99034437,0.99367728,0.99702362,7.77E-05,1.78E-05
7103.0694,0.98783869,0.99067733,0.99434607,0.99718464,1.41E-04,-3.01E-06
7107.7629,0.98835171,0.99100088,0.99469009,0.99733918,4.88E-05,-9.83E-06
7112.6822,0.98830816,0.99134392,0.99446532,0.99750101,4.68E-05,2.10E-05
7117.6006,0.9888124,0.99169088,0.9947842,0.9976626,2.55E-04,3.47E-05
7122.3149,0.99076395,0.99202714,0.99655415,0.99781727,3.81E-04,1.44E-06
7127.2406,0.99248364,0.99238228,0.99808,0.99797857,2.69E-04,-2.22E-05
7132.1777,0.99341564,0.99274211,0.99881351,0.9981399,1.62E-04,-1.35E-05
7137.1014,0.99408145,0.99310476,0.99927717,0.9983004,1.36E-04,-4.18E-07
7142.058,0.99475992,0.99347362,0.99974791,0.99846152,1.58E-04,3.74E-06
7146.8038,0.99561352,0.99383029,1.0003986,0.99861533,1.72E-04,-5.78E-06
7151.5495,0.99639615,0.99419035,1.0009745,0.99876862,1.03E-04,-1.02E-05
7156.5329,0.9966165,0.99457204,1.0009735,0.99892901,7.30E-05,2.05E-06
7161.4961,0.99712243,0.99495581,1.0012548,0.9990881,1.23E-04,-2.10E-06
7166.47,0.99784339,0.99534396,1.0017463,0.99924683,5.21E-05,-8.25E-06
7171.4398,0.99764078,0.99573532,1.0013102,0.99940468,4.14E-05,-4.48E-07
7176.4195,0.9982556,0.99613093,1.0016868,0.99956204,4.77E-05,-5.79E-06
7181.4295,0.99811698,0.99653241,1.0013041,0.99971949,-1.64E-05,-3.75E-06
7186.2108,0.99809474,0.99691876,1.001045,0.99986891,1.10E-05,6.02E-07
7191.0167,0.99822222,0.99731018,1.0009303,1.0000182,-1.07E-05,-2.63E-06
7196.0434,0.99798992,0.99772285,1.0004405,1.0001734,-1.49E-05,2.55E-06
7201.0693,0.99807279,0.99813875,1.0002615,1.0003274,1.50E-05,3.34E-06
7206.1154,0.99814058,0.99855957,1.000062,1.0004809,1.88E-05,5.67E-06
7211.1643,0.99826209,0.99898385,0.99991169,1.0006334,7.22E-05,7.90E-06
7216.022,0.99885624,0.99939504,1.0002401,1.0007789,9.70E-05,1.71E-06
7221.1037,0.99922662,0.99982827,1.0003282,1.0009298,8.92E-05,-3.91E-06
7226.2091,0.999765,1.0002666,1.0005785,1.00108,5.72E-05,-2.14E-06
7231.1048,0.99979839,1.0006899,1.0003313,1.0012227,6.78E-05,1.01E-06
7235.9993,1.0004288,1.0011158,1.0006772,1.0013641,6.71E-05,-3.99E-06
7241.1302,1.0004707,1.0015652,1.0004162,1.0015107,2.78E-05,-2.41E-06
7246.2473,1.0007137,1.0020164,1.0003527,1.0016553,4.23E-05,7.43E-06
7251.173,1.0008957,1.0024533,1.0002354,1.001793,1.02E-04,7.39E-06
7256.3191,1.0017449,1.0029126,1.0007675,1.0019351,1.17E-04,-4.09E-06
7261.4751,1.0020985,1.0033756,1.0007987,1.0020757,6.02E-05,-4.28E-08
7266.4235,1.0023536,1.0038225,1.0007401,1.002209,1.16E-04,8.76E-06
7271.3716,1.0032497,1.0042719,1.0013182,1.0023404,1.47E-04,2.84E-06
7276.5488,1.0038411,1.0047447,1.0015725,1.002476,1.45E-04,-8.24E-07
7282.1611,1.0048155,1.0052602,1.0021762,1.0026207,1.38E-04,-3.12E-06
7287.8047,1.0053946,1.0057815,1.002377,1.0027637,1.10E-04,-5.19E-06
7293.2485,1.0060358,1.006287,1.002648,1.0028992,8.05E-05,5.43E-07
7298.6906,1.0062713,1.006795,1.0025084,1.0030321,1.16E-04,4.91E-06
7304.1381,1.0072986,1.007306,1.0031551,1.0031624,1.34E-04,-3.26E-06
7309.7854,1.0077575,1.0078383,1.003214,1.0032947,7.98E-05,-2.70E-06
7315.4978,1.0082055,1.0083792,1.0032518,1.0034255,1.03E-04,9.68E-06
7320.9776,1.0089139,1.0089004,1.0035614,1.0035479,1.88E-04,3.04E-06
7326.4552,1.0102673,1.0094235,1.004511,1.0036672,1.37E-04,-9.89E-06
7332.1705,1.0104434,1.0099716,1.0042602,1.0037883,7.75E-05,-4.22E-06
7337.8887,1.0111537,1.010522,1.0045378,1.003906,8.84E-05,2.54E-06
7343.3919,1.0114359,1.0110536,1.0043982,1.0040158,1.06E-04,3.06E-06
7348.8952,1.0123208,1.011587,1.004856,1.0041221,1.22E-04,-5.64E-07
7354.6172,1.0128074,1.0121434,1.004893,1.004229,9.97E-05,-3.98E-06
7360.3403,1.0134619,1.0127016,1.0050923,1.0043318,7.66E-05,-3.36E-06
7365.884,1.0136704,1.0132438,1.0048543,1.0044276,6.18E-05,2.66E-06
7371.4297,1.0141475,1.0137876,1.0048795,1.0045195,1.06E-04,7.89E-06
7377.2018,1.0148714,1.014355,1.0051275,1.0046109,1.51E-04,-1.71E-06
7382.9607,1.0158897,1.0149224,1.0056651,1.0046977,8.64E-05,-9.71E-06
7388.5131,1.0158492,1.0154706,1.0051557,1.0047771,4.12E-05,-2.87E-06
7394.3309,1.0163587,1.0160461,1.0051683,1.0048556,5.38E-05,4.88E-06
7400.1427,1.0164753,1.0166219,1.0047826,1.0049292,9.80E-05,7.82E-06
7405.9371,1.0174966,1.017197,1.0052973,1.0049976,1.45E-04,1.11E-06
7411.7556,1.0181546,1.0177751,1.0054408,1.0050612,1.11E-04,-8.56E-06
7417.376,1.018765,1.0183343,1.0055486,1.0051178,4.67E-05,-1.55E-07
7423.0046,1.0186797,1.0188947,1.0049545,1.0051695,1.09E-04,9.95E-06
7428.8404,1.0200163,1.0194762,1.0057579,1.0052177,1.61E-04,-2.84E-06
7434.6772,1.0205561,1.0200582,1.0057584,1.0052604,7.61E-05,-5.99E-06
7440.3335,1.0208904,1.0206223,1.0055645,1.0052963,9.19E-05,4.61E-06
7446.018,1.021598,1.0211893,1.0057357,1.005327,1.28E-04,-3.01E-06
7451.9133,1.022377,1.0217774,1.0059525,1.0053529,5.70E-05,-8.92E-06
7457.8077,1.0222696,1.0223653,1.005277,1.0053726,2.32E-05,2.02E-06
7463.4879,1.0226457,1.0229315,1.0051,1.0053857,8.03E-05,6.31E-06
7469.2068,1.023185,1.0235013,1.0050768,1.005393,9.51E-05,3.21E-06
7475.1831,1.023758,1.0240963,1.0050558,1.005394,1.18E-04,2.33E-07
7481.1111,1.0245886,1.0246858,1.0052912,1.0053884,9.79E-05,-2.38E-06
7486.8151,1.0248966,1.0252524,1.0050209,1.0053766,9.02E-05,1.54E-06
7492.5644,1.0256222,1.0258227,1.0051577,1.0053582,1.16E-04,-5.44E-07
7498.5622,1.0262534,1.0264168,1.0051687,1.005332,8.39E-05,-4.90E-06
7504.7524,1.0266442,1.0270289,1.0049128,1.0052974,5.58E-05,-9.75E-07
7510.9676,1.0269459,1.0276425,1.0045586,1.0052551,7.18E-05,5.49E-06
7516.9819,1.0275218,1.0282357,1.0044934,1.0052072,1.23E-04,1.75E-06
7523.2401,1.0284553,1.0288524,1.0047532,1.0051502,9.32E-05,-2.24E-06
7529.6902,1.0287063,1.0294876,1.0043027,1.0050839,9.46E-05,4.97E-06
7535.9867,1.0296605,1.0301074,1.0045653,1.005012,1.57E-04,2.93E-06
7542.2912,1.0306787,1.030728,1.004884,1.0049332,1.32E-04,-4.22E-06
7548.5558,1.0313137,1.0313447,1.0048172,1.0048481,1.04E-04,-1.34E-06
7554.8503,1.0319789,1.0319647,1.0047705,1.0047562,1.15E-04,1.38E-06
7561.2291,1.0327674,1.0325935,1.0048304,1.0046564,1.21E-04,-9.06E-07
7567.5332,1.033513,1.0332155,1.0048492,1.0045516,1.03E-04,-5.60E-07
7573.803,1.0340651,1.033835,1.0046715,1.0044414,1.14E-04,-2.78E-06
7580.139,1.0349491,1.034462,1.0048112,1.004324,6.82E-05,-4.97E-06
7586.4354,1.0349265,1.0350862,1.004042,1.0042017,5.11E-05,5.14E-06
7592.9482,1.0356038,1.0357333,1.0039399,1.0040693,1.34E-04,4.53E-06
7599.5299,1.0366811,1.0363889,1.004222,1.0039298,1.10E-04,-4.26E-06
7605.8879,1.0370327,1.0370238,1.0037985,1.0037896,7.89E-05,-1.50E-06
7612.2032,1.0376804,1.0376564,1.0036693,1.0036453,9.14E-05,8.45E-07
7618.5501,1.0381898,1.0382942,1.003391,1.0034953,8.96E-05,8.60E-07
7624.9387,1.0388208,1.0389385,1.0032221,1.0033397,1.02E-04,-1.95E-07
7631.568,1.039522,1.0396096,1.0030857,1.0031732,8.70E-05,5.44E-07
7638.1757,1.0399726,1.0402813,1.002694,1.0030026,1.10E-04,5.01E-06
7644.3699,1.0409242,1.0409137,1.0028491,1.0028385,1.51E-04,1.38E-06
7650.8021,1.0418809,1.0415733,1.0029716,1.002664,1.27E-04,-2.27E-06
7657.4475,1.0425846,1.0422582,1.0028061,1.0024796,1.21E-04,-3.41E-06
7663.9232,1.0434747,1.0429291,1.0028418,1.0022961,8.22E-05,-4.88E-06
7670.4424,1.0436527,1.0436081,1.0021524,1.0021077,5.81E-05,8.06E-07
7676.9161,1.0442296,1.0442862,1.0018606,1.0019171,9.27E-05,3.92E-06
7683.4303,1.0448562,1.0449726,1.0016058,1.001722,1.09E-04,1.73E-06
7689.9881,1.0456543,1.0456678,1.0015092,1.0015225,1.15E-04,-1.59E-06
7696.5222,1.0463646,1.046365,1.0013206,1.0013208,8.82E-05,8.21E-07
7703.028,1.0468044,1.0470637,1.000858,1.0011173,1.26E-04,3.43E-06
7709.5975,1.0480112,1.0477742,1.0011462,1.0009092,1.33E-04,-1.96E-06
7716.4397,1.048589,1.0485195,1.0007594,1.0006899,9.96E-05,-1.13E-06
7723.1993,1.0493662,1.0492615,1.0005757,1.0004709,1.18E-04,1.34E-06
7729.8269,1.0501646,1.0499946,1.0004243,1.0002542,1.18E-04,-6.68E-07
7736.4902,1.0509285,1.0507374,1.0002256,1.0000344,1.09E-04,-5.62E-07
7743.0859,1.0516074,1.0514787,0.99994414,0.99981532,1.10E-04,7.37E-07
7749.7374,1.052387,1.0522324,0.99974768,0.99959292,1.19E-04,1.16E-06
7756.4469,1.0531917,1.0529989,0.99955996,0.9993671,1.26E-04,-1.51E-06
7763.1388,1.0540705,1.0537696,0.99944124,0.99914023,9.83E-05,-2.15E-06
7769.8415,1.0545087,1.0545474,0.99887252,0.99891117,9.68E-05,9.45E-07
