e,norm,nbkg,flat,fbkg,nder,nsec
6876.8398,0.98919353,0.98411841,0.9998246,0.9947495,-1.56E-04,-4.84E-05
6880.4538,0.98800117,0.98401537,0.9986519,0.99466612,-3.15E-04,-2.12E-05
6883.8835,0.98697702,0.98392212,0.99764438,0.99458949,-3.06E-04,1.06E-06
6887.3025,0.98590876,0.98383373,0.99659073,0.99451572,-3.07E-04,-3.64E-06
6890.9241,0.98481274,0.98374532,0.99550804,0.99444064,-3.31E-04,-1.62E-05
6894.3398,0.98357847,0.98366706,0.99428432,0.99437292,-4.22E-04,-1.82E-05
6897.7718,0.98192525,0.98359363,0.99263972,0.99430812,-4.56E-04,1.69E-05
6901.1973,0.98045086,0.98352574,0.99117196,0.99424686,-3.06E-04,9.52E-06
6904.6454,0.97982473,0.98346306,0.99055051,0.99418886,-3.91E-04,-2.42E-05
6908.2909,0.97767988,0.98340317,0.98840844,0.99413176,-4.77E-04,1.02E-05
6911.945,0.97634114,0.98334997,0.98707025,0.9940791,-3.16E-04,2.78E-05
6915.7889,0.97531046,0.98330165,0.98603771,0.99402892,-2.69E-04,2.86E-05
6919.8484,0.97421718,0.98325942,0.98493977,0.99398204,-8.97E-05,5.11E-05
6923.9194,0.97458156,0.98322649,0.98529671,0.99394165,1.46E-04,3.30E-05
6927.9836,0.97540852,0.98320334,0.98611344,0.99390829,1.79E-04,1.67E-05
6932.0625,0.97603994,0.98319003,0.98673181,0.99388192,2.82E-04,2.75E-05
6936.1481,0.97771137,0.98318652,0.98838738,0.99386254,4.03E-04,2.57E-05
6940.4328,0.97941521,0.98319322,0.99007155,0.99384958,4.97E-04,1.23E-05
6944.7421,0.98198048,0.98321051,0.99261393,0.99384398,5.09E-04,-7.02E-06
6948.8417,0.98369843,0.98323661,0.9943072,0.9938454,4.38E-04,-1.31E-05
6952.9512,0.98557387,0.98327203,0.99615506,0.99385325,4.01E-04,-1.43E-05
6957.0756,0.98700431,0.98331675,0.99755498,0.99386744,3.20E-04,-2.04E-05
6961.2048,0.98821519,0.98337055,0.99873243,0.99388782,2.33E-04,-2.33E-05
6965.3415,0.9889291,0.98343335,0.99940998,0.99391425,1.27E-04,-2.88E-05
6969.4748,0.98926871,0.98350483,0.99971037,0.99394652,-4.99E-06,-2.63E-05
6973.5999,0.98888789,0.9835847,0.99928756,0.99398439,-8.97E-05,-8.97E-06
6977.743,0.98852741,0.98367332,0.99888202,0.99402796,-7.91E-05,2.05E-06
6981.89,0.98823187,0.98377031,0.99853849,0.99407695,-7.27E-05,-6.71E-06
6986.0346,0.98792474,0.98387534,0.99818051,0.99413113,-1.35E-04,-3.43E-06
6990.194,0.98711282,0.98398872,0.99731465,0.99419058,-1.01E-04,5.11E-06
6994.3531,0.98708315,0.98410992,0.99722813,0.99425493,-9.23E-05,-1.14E-05
6998.5149,0.9863451,0.98423885,0.99643029,0.99432406,-1.96E-04,-1.44E-05
7002.691,0.98544547,0.98437575,0.99546773,0.99439804,-2.12E-04,7.61E-06
7006.8665,0.9845751,0.98452,0.99453152,0.99447644,-1.33E-04,6.53E-06
7011.043,0.98433585,0.98467149,0.99422347,0.99455913,-1.57E-04,2.98E-06
7015.2289,0.98325885,0.98483036,0.99307457,0.9946461,-1.08E-04,1.87E-05
7019.4208,0.9834316,0.98499636,0.99317237,0.99473715,-1.13E-06,1.88E-05
7023.6146,0.98324937,0.98516918,0.9929122,0.99483202,5.01E-05,1.27E-05
7027.8086,0.98385169,0.98534856,0.99343361,0.99493051,1.05E-04,1.00E-05
7031.9941,0.98413265,0.98553396,0.99363089,0.99503221,1.34E-04,9.61E-06
7036.1893,0.98497627,0.98572599,0.99438766,0.99513741,1.86E-04,6.32E-07
7040.3877,0.98569378,0.98592423,0.9950153,0.99524577,1.39E-04,3.24E-06
7044.59,0.9861481,0.98612854,0.9953767,0.99535716,2.13E-04,1.29E-05
7049.015,0.98753287,0.98634985,0.99666041,0.99547742,2.51E-04,-1.38E-05
7053.4231,0.98836247,0.98657642,0.99738607,0.99560004,9.16E-05,-2.75E-05
7057.6329,0.98832252,0.98679829,0.99724381,0.9957196,1.40E-05,-1.04E-05
7061.8614,0.98848042,0.98702637,0.99729593,0.99584191,3.70E-06,-8.04E-06
7066.0841,0.98835381,0.9872592,0.99706069,0.9959661,-5.40E-05,-8.11E-06
7070.3075,0.98802437,0.98749693,0.99661961,0.99609219,-6.48E-05,-6.06E-06
7074.5277,0.9878065,0.98773916,0.99628718,0.99621986,-1.05E-04,-1.01E-05
7078.9552,0.98711519,0.98799814,0.99547247,0.99635544,-1.52E-04,-2.31E-06
7083.6144,0.98642251,0.9882758,0.99464636,0.99649968,-1.26E-04,1.19E-05
7088.4897,0.98591295,0.98857173,0.99399329,0.99665209,-3.90E-05,1.56E-05
7093.3561,0.98604228,0.98887233,0.99397538,0.99680545,2.60E-05,1.06E-05
7098.25,0.98616711,0.98917973,0.99394812,0.99696075,6.47E-05,7.36E-06
7103.1522,0.98667607,0.98949266,0.99430069,0.9971173,9.82E-05,6.95E-06
7107.8474,0.98710932,0.989797,0.99458036,0.99726807,1.31E-04,4.56E-06
