e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6649.1074,0.54191792,0.53941193,0.1629733,0.53601665,-6.15E-04,6.36E-05,6.68E-03
6651.0398,0.54088884,0.53959786,0.16313624,0.53614781,-5.01E-04,4.88E-05,3.44E-03
6653.0172,0.53995808,0.53976413,0.16330299,0.53628227,-4.25E-04,5.12E-05,5.17E-04
6654.9657,0.53922166,0.53990575,0.16346729,0.536415,-3.00E-04,6.94E-05,-1.82E-03
6656.7367,0.53884107,0.5400166,0.16361663,0.53653585,-1.66E-04,4.42E-05,-3.14E-03
6658.8685,0.53857208,0.54012914,0.16379639,0.53668158,-1.28E-04,-1.53E-05,-4.15E-03
6660.6318,0.53834316,0.5402063,0.16394508,0.53680234,-2.26E-04,-1.02E-04,-4.97E-03
6662.6011,0.53772813,0.54027689,0.16411114,0.53693744,-5.10E-04,-1.55E-04,-6.80E-03
6664.3717,0.53643502,0.54032757,0.16426044,0.53705911,-8.04E-04,-1.36E-04,-1.04E-02
6666.3366,0.53472349,0.54037105,0.16442613,0.53719437,-1.02E-03,-1.00E-04,-1.51E-02
6668.297,0.5324379,0.54040254,0.16459143,0.53732956,-1.20E-03,-4.81E-05,-2.12E-02
6670.9757,0.52916936,0.54042917,0.16481731,0.53751467,-1.24E-03,-1.39E-05,-3.00E-02
6673.655,0.52578569,0.54044044,0.16504325,0.53770029,-1.27E-03,2.56E-05,-3.91E-02
6676.0203,0.5227538,0.54044075,0.1652427,0.53786452,-1.11E-03,1.27E-04,-4.72E-02
6678.8433,0.5200154,0.54043321,0.16548074,0.538061,-6.14E-04,2.17E-04,-5.45E-02
6681.6888,0.51927142,0.5404213,0.16572069,0.53825955,1.18E-04,2.73E-04,-5.64E-02
6684.0875,0.52063453,0.54041136,0.16592295,0.53842732,8.15E-04,2.24E-04,-5.28E-02
6686.7111,0.52336358,0.54040412,0.16614419,0.53861124,1.24E-03,1.35E-04,-4.55E-02
6689.5546,0.52743636,0.54040459,0.16638396,0.53881105,1.55E-03,8.71E-05,-3.46E-02
