e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6574.4966,0.58764888,0.524925,0.1665585,0.53567085,-7.45E-03,-5.17E-03,0.16972928
6574.8242,0.58471786,0.52472769,0.16658528,0.53569089,-9.16E-03,-3.82E-03,0.16233194
6575.1336,0.58181343,0.52454861,0.16661058,0.53570983,-9.88E-03,-2.65E-03,0.1549572
6575.4502,0.57853389,0.52437255,0.16663648,0.53572922,-1.08E-02,-9.61E-04,0.14655924
6575.7888,0.57472201,0.52419237,0.16666417,0.53574996,-1.05E-02,1.04E-03,0.13673197
6576.1748,0.57092161,0.52399699,0.16669573,0.53577361,-1.01E-02,-5.14E-04,0.12697687
6576.5862,0.56669531,0.52380027,0.16672938,0.53579884,-1.09E-02,-1.96E-03,0.1160729
6576.9868,0.56205648,0.52362011,0.16676214,0.53582341,-1.17E-02,-7.00E-04,0.10400788
6577.3839,0.55739867,0.52345246,0.1667946,0.53584776,-1.15E-02,-8.02E-04,9.19E-02
6577.7591,0.55319532,0.52330385,0.16682529,0.5358708,-1.23E-02,-2.68E-03,8.09E-02
6578.1234,0.54832139,0.52316857,0.16685508,0.53589317,-1.35E-02,-1.64E-03,6.81E-02
6578.455,0.54383108,0.52305309,0.16688219,0.53591353,-1.34E-02,-7.44E-04,5.62E-02
6578.7647,0.53971887,0.5229517,0.16690752,0.53593257,-1.39E-02,1.93E-04,4.54E-02
6579.0818,0.53509738,0.52285433,0.16693345,0.53595205,-1.33E-02,3.29E-03,3.31E-02
6579.4171,0.53104692,0.52275834,0.16696087,0.53597267,-1.18E-02,4.19E-03,2.24E-02
6579.8071,0.52654693,0.52265559,0.16699276,0.53599666,-1.03E-02,2.94E-03,1.05E-02
6580.2154,0.5228612,0.52255815,0.16702615,0.53602179,-9.44E-03,5.77E-04,8.20E-04
6580.6201,0.51886948,0.52247163,0.16705925,0.53604671,-9.78E-03,-2.86E-04,-9.75E-03
6581.0212,0.51497682,0.52239561,0.16709205,0.53607141,-9.67E-03,4.99E-04,-2.01E-02
6581.4005,0.51132017,0.5223325,0.16712307,0.53609478,-9.39E-03,-7.32E-05,-2.98E-02
6581.7653,0.50798683,0.52227972,0.16715289,0.53611726,-9.73E-03,-6.22E-04,-3.87E-02
6582.0972,0.5045427,0.52223834,0.16718004,0.53613773,-9.83E-03,4.37E-04,-4.79E-02
6582.4073,0.50167656,0.52220532,0.1672054,0.53615686,-9.45E-03,1.72E-03,-5.56E-02
6582.7248,0.49861432,0.5221771,0.16723136,0.53617644,-8.75E-03,3.28E-03,-6.38E-02
6583.0605,0.49596437,0.52215331,0.16725881,0.53619716,-7.31E-03,3.66E-03,-7.09E-02
6583.4437,0.49336161,0.52213363,0.16729014,0.53622082,-6.11E-03,2.29E-03,-7.79E-02
6583.8524,0.49112442,0.5221213,0.16732357,0.53624607,-5.49E-03,1.21E-03,-8.39E-02
6584.254,0.48890918,0.52211773,0.16735641,0.53627088,-5.13E-03,1.23E-03,-8.99E-02
6584.6556,0.48700368,0.52212248,0.16738925,0.53629571,-4.51E-03,5.21E-04,-9.50E-02
6585.0353,0.48538935,0.52213448,0.1674203,0.53631919,-4.72E-03,6.51E-05,-9.94E-02
6585.3968,0.48350245,0.52215257,0.16744986,0.53634156,-4.46E-03,9.53E-04,-0.10458628
6585.7292,0.482297,0.52217484,0.16747704,0.53636213,-4.06E-03,7.59E-04,-0.10790847
6586.0433,0.48087635,0.52220077,0.16750273,0.53638158,-3.97E-03,1.52E-03,-0.11182286
6586.3611,0.47979088,0.52223175,0.16752871,0.53640126,-3.10E-03,2.45E-03,-0.11484396
6586.6935,0.47885818,0.52226919,0.1675559,0.53642185,-2.37E-03,1.62E-03,-0.11746915
6587.0771,0.47809302,0.52231869,0.16758727,0.53644563,-1.94E-03,1.26E-03,-0.11967356
6587.4864,0.47731624,0.52237876,0.16762074,0.536471,-1.37E-03,1.06E-03,-0.12193807
6587.892,0.47697618,0.52244557,0.16765391,0.53649617,-1.08E-03,5.58E-04,-0.12303905
6588.2941,0.47644082,0.52251876,0.16768679,0.53652111,-9.19E-04,1.23E-03,-0.12468577
6588.6743,0.47625699,0.52259421,0.16771788,0.53654471,-1.23E-04,1.97E-03,-0.12538737
6589.0399,0.47634909,0.52267236,0.16774777,0.53656742,5.48E-04,4.82E-04,-0.12534964
6589.3762,0.47664185,0.52274903,0.16777528,0.53658831,2.15E-04,-6.96E-04,-0.1247649
6589.6871,0.4764885,0.52282384,0.1678007,0.53660763,9.80E-05,2.66E-04,-0.12538228
6590.0052,0.47670348,0.52290428,0.16782672,0.53662741,3.82E-04,2.26E-04,-0.12501824
6590.3381,0.47673748,0.52299254,0.16785393,0.53664811,2.45E-04,3.37E-04,-0.12516506
6590.7258,0.4768801,0.52310054,0.16788564,0.53667223,6.25E-04,2.71E-04,-0.12507139
6591.1355,0.47723591,0.52322059,0.16791915,0.53669773,4.62E-04,-4.16E-04,-0.1244334
6591.5417,0.47725669,0.52334542,0.16795236,0.53672301,2.86E-04,9.94E-04,-0.12471496
6591.9442,0.47746718,0.52347472,0.16798527,0.53674808,1.27E-03,1.41E-03,-0.12449527
6592.6823,0.47869997,0.52372574,0.16804563,0.53679408,1.90E-03,6.23E-04,-0.12183862
6594.0279,0.48141613,0.52422696,0.16815567,0.53687803,2.56E-03,3.24E-04,-0.11584506
6596.1249,0.48752392,0.52510843,0.16832715,0.53700909,3.01E-03,1.35E-04,-0.10170275
6598.0476,0.49351349,0.52600763,0.16848438,0.5371295,3.11E-03,1.55E-04,-8.79E-02
6599.9673,0.49945969,0.526975,0.16864137,0.53724996,3.60E-03,3.10E-04,-7.45E-02
6601.7083,0.50670735,0.52789834,0.16878374,0.53735941,4.24E-03,3.09E-04,-5.73E-02
6603.6317,0.51500262,0.52895377,0.16894102,0.53748056,4.74E-03,2.50E-04,-3.78E-02
6605.3688,0.52404226,0.5299253,0.16908308,0.53759017,5.16E-03,1.37E-04,-1.59E-02
6607.4634,0.53476569,0.53110159,0.16925436,0.53772259,5.26E-03,-6.75E-05,9.91E-03
6609.2233,0.54431945,0.53207905,0.16939828,0.53783408,4.90E-03,-3.49E-04,3.31E-02
6611.1413,0.55277937,0.53311688,0.16955512,0.5379558,3.98E-03,-5.24E-04,5.32E-02
6613.1072,0.55976103,0.53413397,0.16971589,0.53808081,2.86E-03,-6.29E-04,6.93E-02
6614.9993,0.56381987,0.53505743,0.16987061,0.53820135,1.55E-03,-6.88E-04,7.78E-02
6616.784,0.5654621,0.53587897,0.17001656,0.53831526,3.33E-04,-5.58E-04,8.01E-02
6618.8502,0.56510178,0.53677179,0.17018552,0.5384474,-5.99E-04,-4.51E-04,7.67E-02
6620.675,0.56313096,0.53750983,0.17033474,0.53856432,-1.42E-03,-3.65E-04,6.93E-02
6622.5513,0.55983874,0.53822094,0.17048818,0.53868477,-1.95E-03,-1.76E-04,5.85E-02
6624.3767,0.55590827,0.53886772,0.17063745,0.53880216,-2.07E-03,2.52E-05,4.61E-02
6626.2469,0.55217833,0.53948582,0.17079039,0.53892265,-1.86E-03,1.70E-04,3.43E-02
6628.2747,0.54866562,0.54010682,0.17095621,0.53905355,-1.41E-03,2.96E-04,2.32E-02
6630.121,0.54671422,0.54062933,0.17110719,0.53917297,-7.11E-04,3.84E-04,1.65E-02
6631.9862,0.54602681,0.5411172,0.17125972,0.53929383,1.60E-05,3.14E-04,1.33E-02
6634.0046,0.5467764,0.54160162,0.17142477,0.53942486,5.08E-04,1.72E-04,1.40E-02
6635.8938,0.54801294,0.54201572,0.17157926,0.53954774,6.89E-04,3.29E-05,1.62E-02
6637.7086,0.54933005,0.54237921,0.17172767,0.539666,6.30E-04,-7.99E-05,1.88E-02
6639.7969,0.55047247,0.54275771,0.17189844,0.53980234,3.77E-04,-1.60E-04,2.09E-02
6641.592,0.55079591,0.54305062,0.17204523,0.53991975,7.98E-06,-2.07E-04,2.10E-02
6643.5161,0.55050216,0.54333289,0.17220257,0.54004584,-3.92E-04,-1.89E-04,1.94E-02
6645.3058,0.54933883,0.54356744,0.17234893,0.54016333,-6.92E-04,-9.08E-05,1.56E-02
6647.2224,0.54793658,0.54379026,0.17250566,0.54028938,-7.29E-04,4.25E-06,1.12E-02
6649.2021,0.5464984,0.54399131,0.17266755,0.54041982,-6.76E-04,4.37E-05,6.78E-03
6651.1386,0.54529069,0.54416109,0.17282591,0.54054766,-5.58E-04,8.22E-05,3.06E-03
6652.9246,0.54442141,0.54429559,0.17297196,0.54066578,-3.70E-04,7.44E-05,3.40E-04
6655.0492,0.54384552,0.54442989,0.1731457,0.54080655,-2.67E-04,6.86E-05,-1.58E-03
6656.8081,0.54338375,0.54452145,0.17328953,0.54092332,-1.03E-04,6.24E-05,-3.08E-03
6658.7661,0.54346194,0.54460413,0.17344965,0.54105353,-3.54E-05,-3.61E-05,-3.09E-03
6660.5308,0.54325205,0.54466267,0.17359396,0.5411711,-2.38E-04,-1.26E-04,-3.82E-03
6662.4918,0.54257702,0.54471159,0.17375432,0.54130197,-5.05E-04,-1.34E-04,-5.78E-03
6664.4559,0.54127151,0.54474527,0.17391494,0.54143331,-7.64E-04,-1.43E-04,-9.40E-03
6666.5951,0.53944344,0.54476658,0.17408987,0.54157662,-1.09E-03,-1.31E-04,-1.44E-02
6668.5594,0.53679212,0.54477394,0.1742505,0.54170848,-1.30E-03,-6.13E-05,-2.16E-02
6671.0233,0.53367839,0.54476946,0.17445198,0.54187422,-1.36E-03,-2.13E-05,-3.00E-02
6673.6713,0.52982528,0.54475136,0.17466852,0.54205278,-1.41E-03,3.21E-05,-4.04E-02
6676.2388,0.52631917,0.54472468,0.17487849,0.54222635,-1.20E-03,1.43E-04,-4.98E-02
6678.8708,0.52361021,0.54469218,0.17509371,0.5424047,-6.70E-04,2.35E-04,-5.70E-02
6681.5425,0.52276607,0.54465822,0.1753122,0.5425862,5.17E-05,2.73E-04,-5.92E-02
6684.138,0.52388253,0.54462851,0.17552444,0.54276295,7.69E-04,2.41E-04,-5.61E-02
6686.7522,0.52677163,0.54460602,0.17573822,0.54294142,1.31E-03,1.68E-04,-4.83E-02
6689.4295,0.53080498,0.5445937,0.17595715,0.54312465,1.66E-03,9.17E-05,-3.73E-02
6692.0572,0.53557903,0.54459222,0.17617204,0.54330493,1.79E-03,1.16E-05,-2.44E-02
6694.6715,0.54021358,0.54460087,0.17638582,0.54348472,1.72E-03,-4.73E-05,-1.19E-02
6697.3781,0.54473508,0.54462017,0.17660715,0.54367133,1.54E-03,-9.52E-05,3.11E-04
6700.0416,0.54850173,0.54464911,0.17682496,0.54385541,1.21E-03,-1.21E-04,1.04E-02
6702.6245,0.55107953,0.54468632,0.17703618,0.54403436,9.11E-04,-1.05E-04,1.73E-02
6705.2756,0.5532677,0.54473358,0.17725297,0.54421848,6.59E-04,-9.26E-05,2.31E-02
6707.9511,0.55458817,0.54479026,0.17747176,0.54440475,4.17E-04,-7.62E-05,2.65E-02
6710.5371,0.55546311,0.54485336,0.17768323,0.54458522,2.58E-04,-4.76E-05,2.87E-02
6713.1644,0.55593085,0.54492552,0.17789808,0.54476901,1.69E-04,-1.77E-05,2.98E-02
6715.8497,0.55636116,0.54500737,0.17811767,0.54495731,1.63E-04,-6.97E-06,3.07E-02
6718.4601,0.55679669,0.54509447,0.17833114,0.5451408,1.32E-04,-1.61E-05,3.17E-02
6721.0595,0.55704954,0.54518831,0.1785437,0.54532396,7.96E-05,-2.74E-05,3.21E-02
6723.7406,0.55721697,0.54529222,0.17876295,0.54551332,-1.25E-05,-5.34E-05,3.23E-02
6726.3847,0.55698315,0.54540147,0.17897917,0.54570051,-2.05E-04,-9.05E-05,3.13E-02
6728.9736,0.55614475,0.54551467,0.17919088,0.54588423,-4.86E-04,-1.07E-04,2.88E-02
6731.8264,0.55433791,0.5456462,0.17942417,0.54608717,-7.85E-04,-7.93E-05,2.35E-02
6734.6958,0.5516531,0.54578532,0.17965881,0.54629182,-9.40E-04,-2.37E-05,1.59E-02
6737.1042,0.54937666,0.54590709,0.17985576,0.546464,-9.10E-04,3.77E-05,9.39E-03
6739.7609,0.54704249,0.54604641,0.18007301,0.54665436,-7.49E-04,6.87E-05,2.70E-03
6742.6348,0.54523509,0.54620269,0.18030802,0.54686078,-5.30E-04,7.31E-05,-2.62E-03
6745.2681,0.54412307,0.54635063,0.18052336,0.54705039,-3.46E-04,7.50E-05,-6.03E-03
6747.8937,0.54341294,0.54650237,0.18073807,0.54723988,-1.36E-04,8.15E-05,-8.36E-03
6750.5874,0.54339999,0.54666212,0.18095835,0.54743475,8.70E-05,7.17E-05,-8.83E-03
6753.2525,0.54387909,0.54682392,0.18117629,0.547628,2.48E-04,3.75E-05,-7.97E-03
6755.8676,0.5447103,0.54698601,0.18139014,0.54781806,2.85E-04,2.27E-06,-6.16E-03
