e_test,test,e_K_wide,K_wide,e_K_wide,K_narrow,e_Na_wide,Na_wide,e_Na_narrow,Na_narrow
10.22,551468.75,10.22,228996.875,2.22,13496.4844,10.22,90512.5,2.22,55783.5938
10.2,547709.375,10.2,227331.25,2.2,13617.5781,10.2,95237.5,2.2,56218.75
10.18,540190.625,10.18,223171.875,2.18,13680.0781,10.18,98587.5,2.18,56387.8906
10.16,533059.375,10.16,219346.875,2.16,13740.2344,10.16,101768.75,2.16,56776.9531
10.14,524515.625,10.14,216500,2.14,13621.0938,10.14,104037.5,2.14,56693.75
10.12,517387.5,10.12,213253.125,2.12,13733.2031,10.12,108371.875,2.12,56634.375
10.1,514934.375,10.1,212331.25,2.1,13703.5156,10.1,111156.25,2.1,56771.4844
10.08,509115.625,10.08,209215.625,2.08,13846.0938,10.08,115315.625,2.08,56644.9219
10.06,505212.5,10.06,207303.125,2.06,13758.5938,10.06,117496.875,2.06,57106.6406
10.04,497546.875,10.04,203396.875,2.04,13592.1875,10.04,121015.625,2.04,56756.25
10.02,493525,10.02,200718.75,2.02,13698.8281,10.02,122534.375,2.02,56750
10,486868.75,10,197159.375,2,13600.7813,10,125018.75,2,56848.8281
9.98,478878.125,9.98,195234.375,1.98,13694.5313,9.98,125590.625,1.98,56867.9688
9.96,473453.125,9.96,192775,1.96,13734.7656,9.96,128421.875,1.96,56880.0781
9.94,465421.875,9.94,189665.625,1.94,13532.8125,9.94,130537.5,1.94,57109.7656
9.92,455175,9.92,185709.375,1.92,13479.6875,9.92,130928.125,1.92,57124.6094
9.9,449928.125,9.9,183784.375,1.9,13570.7031,9.9,133143.75,1.9,56694.1406
9.88,445487.5,9.88,180006.25,1.88,13728.9063,9.88,133290.625,1.88,56805.0781
9.86,442137.5,9.86,178084.375,1.86,13682.8125,9.86,136293.75,1.86,56892.9688
9.84,437100,9.84,176540.625,1.84,13634.375,9.84,137337.5,1.84,57050.3906
9.82,432021.875,9.82,172946.875,1.82,13622.6563,9.82,138959.375,1.82,56887.1094
9.8,422446.875,9.8,171740.625,1.8,13534.375,9.8,138225,1.8,56724.2188
9.78,415140.625,9.78,168740.625,1.78,13594.5313,9.78,138662.5,1.78,56757.8125
9.76,414159.375,9.76,165912.5,1.76,13366.4063,9.76,139878.125,1.76,56750.3906
9.74,404034.375,9.74,162925,1.74,13596.0938,9.74,139118.75,1.74,56843.3594
9.72,400884.375,9.72,160378.125,1.72,13452.7344,9.72,141428.125,1.72,56953.5156
9.7,392587.5,9.7,157509.375,1.7,13486.7188,9.7,140565.625,1.7,57350.3906
9.68,385978.125,9.68,155728.125,1.68,13401.9531,9.68,139909.375,1.68,57036.7188
9.66,382443.75,9.66,153968.75,1.66,13317.9688,9.66,140700,1.66,56894.9219
9.64,377718.75,9.64,152581.25,1.64,13386.7188,9.64,140834.375,1.64,56512.8906
9.62,373965.625,9.62,149940.625,1.62,13212.8906,9.62,141621.875,1.62,56665.625
9.6,368950,9.6,148040.625,1.6,13324.2188,9.6,141331.25,1.6,56493.3594
9.58,363268.75,9.58,145575,1.58,13435.1563,9.58,141378.125,1.58,56539.0625
9.56,357234.375,9.56,142478.125,1.56,13321.0938,9.56,140640.625,1.56,56679.6875
9.54,354362.5,9.54,140678.125,1.54,13338.2813,9.54,141756.25,1.54,56591.4063
9.52,347290.625,9.52,139215.625,1.52,13250.3906,9.52,141303.125,1.52,56548.4375
9.5,344221.875,9.5,136387.5,1.5,13178.125,9.5,140465.625,1.5,56557.8125
9.48,339459.375,9.48,135315.625,1.48,13234.375,9.48,139093.75,1.48,56216.7969
9.46,333309.375,9.46,132309.375,1.46,13119.5313,9.46,139525,1.46,56553.125
9.44,329784.375,9.44,130684.375,1.44,13214.0625,9.44,139306.25,1.44,56495.7031
9.42,325971.875,9.42,129456.25,1.42,13166.0156,9.42,138078.125,1.42,56448.0469
9.4,322893.75,9.4,128365.625,1.4,13171.0938,9.4,137062.5,1.4,56319.1406
9.38,319300,9.38,126565.625,1.38,13134.7656,9.38,139034.375,1.38,56045.7031
9.36,314056.25,9.36,124193.75,1.36,13086.3281,9.36,137478.125,1.36,56160.1563
