e_K_narrow,K_narrow,e_Na_narrow,Na_narrow
-1.62,5245.3125,-1.62,17562.8906
-1.64,5228.9063,-1.64,17189.0625
-1.66,5286.3281,-1.66,16923.0469
-1.68,5028.125,-1.68,17037.8906
-1.7,4975.7813,-1.7,16575.7813
-1.72,4930.4688,-1.72,16360.1563
-1.74,4812.8906,-1.74,16134.375
-1.76,4778.9063,-1.76,15907.4219
-1.78,4793.3594,-1.78,15626.9531
-1.8,4700.3906,-1.8,15340.2344
-1.82,4671.4844,-1.82,15136.3281
-1.84,4491.4063,-1.84,14923.0469
-1.86,4487.8906,-1.86,14646.875
-1.88,4480.4688,-1.88,14621.4844
-1.9,4334.375,-1.9,14493.3594
-1.92,4312.8906,-1.92,14392.1875
-1.94,4367.1875,-1.94,14033.5938
-1.96,4236.3281,-1.96,13992.1875
-1.98,4153.9063,-1.98,13617.5781
-2,4048.4375,-2,13512.1094
-2.02,4056.6406,-2.02,13361.7188
-2.04,3994.9219,-2.04,13131.6406
-2.06,3939.8438,-2.06,12857.0313
-2.08,3962.8906,-2.08,12603.125
-2.1,3818.75,-2.1,12489.4531
-2.12,3841.0156,-2.12,12231.6406
-2.14,3820.7031,-2.14,12076.9531
-2.16,3727.7344,-2.16,11915.625
-2.18,3600.7813,-2.18,11861.3281
-2.2,3618.3594,-2.2,11462.1094
-2.22,3495.3125,-2.22,11376.5625
-2.24,3433.2031,-2.24,11266.0156
-2.26,3402.7344,-2.26,10955.4688
-2.28,3378.5156,-2.28,10835.9375
-2.3,3377.3438,-2.3,10551.1719
-2.32,3211.7188,-2.32,10409.7656
-2.34,3251.9531,-2.34,10291.0156
-2.36,3146.875,-2.36,10105.8594
-2.38,3116.7969,-2.38,9923.0469
-2.4,3129.6875,-2.4,9697.6563
-2.42,2971.4844,-2.42,9505.8594
-2.44,2970.3125,-2.44,9235.1563
-2.46,2937.5,-2.46,9212.1094
-2.48,2983.5938,-2.48,8942.9688
-2.5,2785.1563,-2.5,8764.8438
-2.52,2811.7188,-2.52,8545.3125
-2.54,2614.4531,-2.54,8300.3906
-2.56,2592.9688,-2.56,8144.9219
-2.58,2608.9844,-2.58,7940.2344
-2.6,2415.625,-2.6,7768.75
-2.62,2538.6719,-2.62,7690.2344
-2.64,2381.6406,-2.64,7338.2813
-2.66,2287.5,-2.66,7115.625
-2.68,2326.9531,-2.68,7048.4375
-2.7,2191.7969,-2.7,6880.0781
-2.72,2214.4531,-2.72,6507.4219
-2.74,2165.2344,-2.74,6505.8594
-2.76,2061.7188,-2.76,6250
-2.78,2046.0938,-2.78,6116.0156
-2.8,2013.6719,-2.8,5951.5625
-2.82,1938.6719,-2.82,5675
-2.84,1956.6406,-2.84,5683.9844
-2.86,1852.7344,-2.86,5495.3125
-2.88,1863.2813,-2.88,5411.7188
-2.9,1794.9219,-2.9,5312.5
-2.92,1694.5313,-2.92,5095.7031
-2.94,1677.3438,-2.94,4928.125
-2.96,1700.7813,-2.96,4757.4219
-2.98,1636.7188,-2.98,4605.4688
-3,1564.8438,-3,4448.8281
-3.02,1511.7188,-3.02,4318.3594
-3.04,1477.7344,-3.04,4184.375
-3.06,1392.9688,-3.06,4066.0156
-3.08,1343.75,-3.08,3870.3125
-3.1,1357.4219,-3.1,3800.7813
-3.12,1342.9688,-3.12,3623.0469
-3.14,1363.6719,-3.14,3500
-3.16,1335.1563,-3.16,3537.5
-3.18,1156.25,-3.18,3383.9844
-3.2,1121.875,-3.2,3185.1563
-3.22,1128.5156,-3.22,3246.875
-3.24,1137.5,-3.24,3132.0313
-3.26,1162.1094,-3.26,3017.1875
-3.28,1121.4844,-3.28,2986.7188
-3.3,1010.5469,-3.3,2733.9844
-3.32,1096.4844,-3.32,2681.25
-3.34,1117.9688,-3.34,2609.375
-3.36,1032.8125,-3.36,2542.5781
-3.38,1046.875,-3.38,2564.4531
-3.4,965.625,-3.4,2371.875
-3.42,903.9063,-3.42,2376.5625
-3.44,1067.9688,-3.44,2375
-3.46,1005.0781,-3.46,2212.1094
-3.48,965.625,-3.48,2251.9531
-3.5,1030.8594,-3.5,2213.2813
