"wavelength (nm)",0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,0_r
380,1.172497,1.176183,1.177351,1.179645,1.180084,1.180436,1.181351,1.180874,1.178359,1.177857,1.176565,1.180938,1.181426,1.18066,1.180981,1.180346
381,1.177211,1.174921,1.176617,1.176541,1.173687,1.177891,1.177896,1.181494,1.179952,1.180936,1.178485,1.17879,1.180752,1.179313,1.180658,1.180004
382,1.179199,1.176428,1.179452,1.179949,1.178098,1.181438,1.179312,1.178227,1.18071,1.178122,1.18106,1.177729,1.177888,1.180188,1.180598,1.176557
383,1.177426,1.179888,1.179764,1.179492,1.181175,1.17922,1.183734,1.183534,1.179985,1.182076,1.181795,1.18201,1.179277,1.18126,1.180088,1.18087
384,1.179417,1.179818,1.177845,1.17958,1.177812,1.177157,1.179045,1.176872,1.180029,1.178251,1.180872,1.179548,1.180436,1.179646,1.18145,1.179038
385,1.177842,1.176152,1.175598,1.178411,1.175858,1.174408,1.176009,1.177749,1.177142,1.180019,1.179154,1.174894,1.175839,1.182094,1.178935,1.180814
386,1.179843,1.175167,1.177936,1.177408,1.178701,1.176741,1.175136,1.177823,1.175316,1.175621,1.179006,1.178709,1.178126,1.17699,1.177433,1.178659
387,1.175843,1.176895,1.170819,1.173526,1.174323,1.17338,1.176322,1.176558,1.175055,1.173249,1.177439,1.176446,1.175309,1.176726,1.175015,1.177365
388,1.175257,1.17284,1.174433,1.17246,1.174917,1.17201,1.17446,1.175958,1.177245,1.176372,1.172031,1.176346,1.175285,1.176103,1.175923,1.169942
389,1.172575,1.17137,1.170359,1.173268,1.173095,1.17491,1.17047,1.171612,1.176111,1.17373,1.173203,1.175247,1.17387,1.17264,1.172948,1.172213
390,1.168847,1.168414,1.169468,1.171875,1.174089,1.16842,1.17132,1.169848,1.170324,1.171287,1.170612,1.172433,1.172458,1.17146,1.171414,1.171645
391,1.168178,1.166659,1.168615,1.167871,1.16901,1.16942,1.169553,1.169451,1.170594,1.172251,1.170944,1.168788,1.169183,1.169318,1.170524,1.169316
392,1.165896,1.164888,1.164878,1.165913,1.165702,1.166602,1.166128,1.164337,1.164972,1.164695,1.168158,1.166626,1.166908,1.168288,1.169132,1.166506
393,1.162817,1.161662,1.159976,1.162503,1.159965,1.164258,1.163239,1.164484,1.163925,1.162909,1.162439,1.163114,1.164111,1.165111,1.163455,1.164106
394,1.159158,1.156756,1.157441,1.15916,1.161079,1.161988,1.159611,1.158626,1.160487,1.160686,1.163069,1.160115,1.160267,1.162971,1.161883,1.159718
395,1.158513,1.15544,1.154754,1.156786,1.155274,1.156586,1.159856,1.156671,1.157417,1.159178,1.157398,1.15772,1.155519,1.157732,1.157631,1.158604
396,1.154461,1.1546,1.155881,1.15562,1.15425,1.152193,1.155268,1.155329,1.155024,1.155384,1.155675,1.157679,1.157912,1.155584,1.154994,1.154974
397,1.151155,1.151829,1.148232,1.151041,1.150323,1.152129,1.151459,1.154369,1.153361,1.15229,1.15669,1.153723,1.156082,1.154709,1.154055,1.155749
398,1.148585,1.149273,1.149074,1.149025,1.149786,1.149388,1.149539,1.151644,1.151173,1.150993,1.150597,1.152091,1.151201,1.151891,1.153191,1.151774
399,1.14994,1.145669,1.14922,1.149268,1.148813,1.148909,1.150459,1.146388,1.147893,1.148896,1.149319,1.152744,1.150077,1.149541,1.151817,1.148952
400,1.148849,1.149021,1.14546,1.147247,1.147723,1.146871,1.148175,1.150123,1.14806,1.148902,1.147507,1.147709,1.148158,1.14868,1.148062,1.147217
401,1.151096,1.150316,1.147713,1.147315,1.147035,1.146771,1.147566,1.149882,1.148013,1.148835,1.146221,1.148212,1.146519,1.14846,1.152868,1.150103
402,1.1467,1.143005,1.14601,1.147046,1.145585,1.148232,1.147973,1.145314,1.145777,1.147607,1.148018,1.147506,1.14672,1.148182,1.1471,1.146693
403,1.143694,1.143999,1.142391,1.143004,1.142465,1.143426,1.146044,1.143222,1.144927,1.146043,1.1478,1.145078,1.1453,1.144436,1.143643,1.144408
404,1.144057,1.144064,1.145229,1.14313,1.144596,1.144194,1.146532,1.145658,1.144595,1.145209,1.145743,1.144916,1.144576,1.145487,1.146106,1.14376
405,1.143939,1.143254,1.141633,1.139525,1.142413,1.142517,1.144023,1.147036,1.142977,1.145131,1.142172,1.144096,1.142702,1.145885,1.143119,1.143439
406,1.141082,1.140692,1.140183,1.140938,1.141636,1.141078,1.143331,1.143876,1.143382,1.143253,1.141657,1.142742,1.140309,1.143069,1.144222,1.14347
407,1.142711,1.142557,1.140355,1.138687,1.141526,1.142444,1.140563,1.143133,1.141785,1.144139,1.140892,1.143973,1.143844,1.141991,1.143894,1.145292
408,1.137866,1.140953,1.139784,1.138612,1.140989,1.142697,1.139829,1.139595,1.139418,1.14221,1.141631,1.142438,1.140849,1.143157,1.142555,1.14015
