#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Measurement No.: 25
#Excitation Wavelength: 532.08 nm
#Laser Current: 100 %
#Excitation Power: 7.10 mW
#Excitation Power Density: 1.19E+03 W/cm2
#ND Filter: 10.95 % (170/255)
#Spectrograph Center Wavelength: 710.00 cm-1
#Grating: 1200 gr/mm
#Slit width: 50 um
#Exposure Time: 20 s
#Averaging: 2
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -70
#Optical Line Shaping mode: ON
#Objective Lens: TU Plan Fluor 20x/ NA 0.45
#Measurement Mode: XY Averaging (AreaFlash)
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): -0.721845776996474
#XY Stage Position: (4009.6,4026.4,98.0)
#--------------------------------------
#Correction: Wavelength data:0.7 cm-1
#--------------------------------------
#Correction: Wavelength data:0.3 cm-1
#--------------------------------------
#Correction: Wavelength data:0.025 cm-1
#--------------------------------------
#--------------------------------------
#Average: N_2/7/2024 7:38:55 PM Index:25, N_2/7/2024 7:38:13 PM Index:24, N_2/7/2024 7:37:31 PM Index:23, N_2/7/2024 7:36:49 PM Index:22, N_2/7/2024 7:36:07 PM Index:21, N_2/7/2024 7:35:23 PM Index:20, N_2/7/2024 7:34:00 PM Index:18, N_2/7/2024 7:33:18 PM Index:17, N_2/7/2024 7:32:36 PM Index:16, N_2/7/2024 7:31:52 PM Index:15, N_2/7/2024 7:31:10 PM Index:14, N_2/7/2024 7:30:28 PM Index:13, N_2/7/2024 7:29:46 PM Index:12, N_2/7/2024 7:27:39 PM Index:9, N_2/7/2024 7:26:57 PM Index:8, N_2/7/2024 7:26:15 PM Index:7
#Calculation: [After_ Na] - (1 * [Before_Na])
#--------------------------------------
#

wn(After_ Na-Before_Na)	After_ Na-Before_Na	wn(After_K-Before_Na)	After_K-Before_Na	wn(After_ Na-After_K)	After_ Na-After_K	wn(Before_Na-Before_K)	Before_Na-Before_K	
198.002409356144	-0.0109598673365041	197.862412106057	-0.0107355429654993	198.002409356144	-0.00180752402952511	197.710646011241	-0.00177513454582257
198.934141814454	-0.0123398019559151	198.794158592638	-0.0120916411186138	198.934141814454	-0.00192077835049298	198.642407705502	-0.00179849551692701
199.865780912198	-0.0136581544733684	199.725811716551	-0.013404005432042	199.865780912198	-0.00207127533395735	199.574076034809	-0.00201873700750504
200.797326663414	-0.0150325262498327	200.657371491827	-0.0147604673454382	200.797326663414	-0.00205317814228567	200.505651013191	-0.00206693748311187
201.726814090871	-0.0164348313242923	201.586872911652	-0.0161782960647881	201.726814090871	-0.00180716297203343	201.435167601772	-0.00183641738232532
202.658173387965	-0.0175759467015515	202.518246228596	-0.0176729312005516	202.658173387965	-0.00100740089316814	202.366556117257	-0.00147889065536194
203.589439380579	-0.0189548316769008	203.44952623895	-0.0196022977095159	203.589439380579	-0.000182185152749148	203.29785132387	-0.00122899204712718
204.520612082732	-0.0204701727914641	204.380712956736	-0.0216305204798113	204.520612082732	0.000588205074099291	204.229053235631	-0.000938516695733471
205.449727304025	-0.0221055683495611	205.309842161998	-0.0236962627719928	205.449727304025	0.0011054720073454	205.15819760054	-0.00079496651785177
206.378749655956	-0.0239343991559118	206.238878495798	-0.0255439958730807	206.378749655956	0.00122482571499943	206.087249091714	-0.000694484145225049
207.309642964236	-0.0250727893629198	207.169785813407	-0.026775599546211	207.309642964236	0.00129190904522924	207.018171596457	-0.000596566487045647
208.240443038048	-0.0257738165487776	208.100599894438	-0.0276526927059806	208.240443038048	0.00150682218710396	207.949000862347	-0.000508592250361262
209.169186472944	-0.0261043812847585	209.029357304909	-0.0282861075560349	209.169186472944	0.00194084364768882	208.877773423366	-0.000377407258537132
210.099800316457	-0.0250167428369614	209.959985151443	-0.0283151623334697	210.099800316457	0.00275701078494262	209.808416450196	-0.000432799850039411
211.028357941832	-0.023938113943469	210.888556748199	-0.0282544086680619	211.028357941832	0.00345793241695225	210.737003192953	-0.000749764299167732
211.958785610932	-0.0231004713667337	211.818998416114	-0.0281697788651187	211.958785610932	0.00364441768430551	211.667460036613	-0.00122368038692428
212.889120115509	-0.0227372234705784	212.749346917404	-0.027998605413609	212.889120115509	0.00333420864279471	212.597823711367	-0.00174162108752135
213.817399033091	-0.022599002131926	213.67763980008	-0.0276488480111577	213.817399033091	0.00269919773533617	213.526131733222	-0.00216511447022411
214.747547447067	-0.0230871880302386	214.60780220657	-0.0272564045036965	214.747547447067	0.0017779662050128	214.456309308625	-0.002362489079069
215.677602738459	-0.0234340048109927	215.537871488374	-0.0265779560057181	215.677602738459	0.0010578676795106	215.386393757064	-0.00215357685827433
216.605603073713	-0.0236782435364148	216.465885782432	-0.0259425232830871	216.605603073713	0.000698183976172134	216.314423183492	-0.00163358237107503
217.535472358271	-0.023650744138115	217.395769053208	-0.0252188916350756	217.535472358271	0.000909950300704204	217.244321616348	-0.00084675724315364
218.463287106952	-0.0235056481843405	218.323597756505	-0.0245425221173825	218.463287106952	0.00130411277871828	218.172165447475	7.86976336945577E-05
219.392970440465	-0.0231728850947504	219.253295072042	-0.0239805007538963	219.392970440465	0.00164281825562282	219.101877920548	0.000791481969364571
220.32059965824	-0.0229003645996997	220.180938240246	-0.0235434640737925	220.32059965824	0.00182733469305416	220.029536212045	0.00114051895860307
221.25009709649	-0.0224177893510814	221.110449656328	-0.0233123922319441	221.25009709649	0.00153494490094708	220.959062781112	0.000909734140110419
222.177540838999	-0.0218199043588264	222.037907345082	-0.0229631043024465	222.177540838999	0.00109266784674766	221.886535588626	0.000218833119532413
223.106852437733	-0.0210130670817645	222.967232917454	-0.022610083177666	223.106852437733	0.000559319382114926	222.815876309443	-0.000696099525461735
224.034110760604	-0.0201342588794031	223.894505182387	-0.0222744168762246	224.034110760604	0.000174953910999087	223.743163688599	-0.00162364100867818
224.96323657555	-0.0191372812676875	224.823644966782	-0.0218704762329301	224.96323657555	0.000265000455992315	224.672318616893	-0.00232715063269534
225.890309534374	-0.0181623492791472	225.750731863493	-0.0213623196132736	225.890309534374	0.000603194678017477	225.599420623294	-0.00255156907949175
226.817289929862	-0.0172278797677541	226.677726194779	-0.0208004857328648	226.817289929862	0.00110135978364484	226.526430062007	-0.00242604411837485
227.746137271602	-0.0165753254168447	227.606587499682	-0.0201593502306205	227.746137271602	0.0015098608862453	227.455306504009	-0.00206419067843905
228.672932386376	-0.0159660799649953	228.533396546078	-0.0195588650397299	228.672932386376	0.0017749756554668	228.382130653299	-0.00180783716580063
229.60159408352	-0.0159230674453398	229.462072202201	-0.0192534235322388	229.60159408352	0.00171509653115479	229.310821441981	-0.00160353377431616
230.528203973125	-0.0159960989792284	230.38869601925	-0.0190672007499479	230.528203973125	0.00157637039721817	230.237460357403	-0.00151185849885219
231.452762655732	-0.016222250040629	231.313268597776	-0.0191646231921404	231.452762655732	0.00145535856117043	231.162048000122	-0.00150414000971535
